round,date,win 1,win 2,win 3
329,2009.3.21,6,33,"1,215"
328,2009.3.14,6,30,"1,380"
327,2009.3.7,12,39,"1,242"
326,2009.2.28,6,31,"1,335"
325,2009.2.21,6,33,"1,258"
324,2009.2.14,6,40,"1,228"
323,2009.2.7,8,27,"1,175"
322,2009.1.31,6,29,"1,465"
321,2009.1.24,6,35,"1,276"
320,2009.1.17,2,25,"1,081"
319,2009.1.10,5,26,"1,151"
318,2009.1.3,9,28,"1,381"
317,2008.12.27,4,25,"1,132"
316,2008.12.20,6,29,"1,398"
315,2008.12.13,8,32,"1,063"
314,2008.12.6,6,24,"1,067"
313,2008.11.29,6,26,"1,120"
312,2008.11.22,15,58,"2,064"
311,2008.11.15,8,43,"1,363"
310,2008.11.8,8,29,"1,086"
309,2008.11.1,11,25,"1,390"
308,2008.10.25,1,27,978
307,2008.10.18,4,28,"1,177"
306,2008.10.11,5,23,"1,219"
305,2008.10.4,5,34,"1,377"
304,2008.9.27,6,37,"1,426"
303,2008.9.20,6,29,"1,158"
302,2008.9.13,2,44,"1,134"
301,2008.9.6,7,47,"1,271"
300,2008.8.30,12,34,"1,416"
299,2008.8.23,7,29,"1,118"
298,2008.8.16,1,40,"1,353"
297,2008.8.9,2,28,"1,275"
296,2008.8.2,8,53,"2,066"
295,2008.7.26,0,26,"1,013"
294,2008.7.19,4,26,"1,137"
293,2008.7.12,6,21,"1,154"
292,2008.7.5,14,37,"1,688"
291,2008.6.28,7,39,"1,227"
290,2008.6.21,13,61,"2,297"
289,2008.6.14,0,24,"1,019"
288,2008.6.7,4,24,"1,056"
287,2008.5.31,7,37,"1,330"
286,2008.5.24,3,27,"1,033"
285,2008.5.17,3,26,"1,017"
284,2008.5.10,3,14,955
283,2008.5.3,3,24,"1,061"
282,2008.4.26,7,32,"1,523"
281,2008.4.19,6,37,"1,491"
280,2008.4.12,7,27,"1,145"
279,2008.4.5,5,27,"1,088"
278,2008.3.29,3,27,"1,089"
277,2008.3.22,3,31,"1,104"
276,2008.3.15,3,31,"1,161"
275,2008.3.8,1,19,991
274,2008.3.1,4,37,"1,254"
273,2008.2.23,3,21,"1,096"
272,2008.2.16,9,39,"1,370"
271,2008.2.9,6,28,"1,256"
270,2008.2.2,5,32,"1,242"
269,2008.1.26,5,22,"1,014"
268,2008.1.19,7,35,"1,362"
267,2008.1.12,3,28,"1,141"
266,2008.1.5,3,36,"1,194"
265,2007.12.29,8,19,"1,010"
264,2007.12.22,7,27,"1,047"
